Div,Date,Time,HomeTeam,AwayTeam,Referee,B365H,B365D,B365A,BFDH,BFDD,BFDA,BMGMH,BMGMD,BMGMA,BVH,BVD,BVA,BWH,BWD,BWA,CLH,CLD,CLA,LBH,LBD,LBA,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BFDCH,BFDCD,BFDCA,BMGMCH,BMGMCD,BMGMCA,BVCH,BVCD,BVCA,BWCH,BWCD,BWCA,CLCH,CLCD,CLCA,LBCH,LBCD,LBCA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
E2,15/11/2025,15:00,Burton,Blackpool,L Swabey,2.15,3.5,2.95,2.3,3.4,3.1,2.4,3.4,2.8,2.25,3.5,3.0,2.25,3.4,2.95,2.3,3.5,3.0,2.3,3.5,3.0,,,,2.4,3.5,3.1,2.29,3.42,2.96,2.4,3.6,3.1,1.85,2.0,,,1.96,2.0,1.86,1.88,1.83,2.02,-0.25,1.98,1.88,,,2.02,1.88,1.96,1.76,2.08,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,15/11/2025,15:00,Leyton Orient,Exeter,R Ricardo,1.76,3.75,4.0,1.83,3.75,4.2,1.82,3.7,4.0,1.8,3.7,4.2,1.8,3.7,4.1,1.83,3.75,4.2,1.8,3.7,4.2,,,,1.83,3.8,4.25,1.8,3.7,4.12,1.84,4.1,4.4,1.88,1.98,,,1.88,2.0,1.82,1.92,1.87,1.94,-0.5,1.83,2.03,,,1.83,2.03,1.77,1.97,1.84,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,15/11/2025,15:00,Lincoln,Doncaster,D Rock,2.01,3.25,3.6,2.1,3.3,3.6,2.04,3.4,3.6,2.05,3.3,3.6,2.05,3.4,3.4,2.05,3.5,3.5,2.05,3.5,3.5,,,,2.1,3.5,3.7,2.05,3.33,3.56,2.14,3.55,3.8,2.08,1.73,,,2.1,1.75,2.05,1.72,2.14,1.79,-0.5,2.05,1.8,,,2.05,1.8,1.99,1.75,2.14,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,15/11/2025,15:00,Luton,Rotherham,C Hicks,1.49,3.9,6.0,1.57,4.0,6.0,1.49,4.3,6.4,1.53,4.1,6.0,1.52,4.2,5.75,1.53,4.33,5.75,1.53,4.2,5.75,,,,1.57,4.33,6.4,1.53,4.08,5.9,1.58,4.3,6.8,1.93,1.93,,,1.93,1.93,1.86,1.88,1.87,1.94,-1.0,1.95,1.9,,,1.95,1.98,1.85,1.89,1.96,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,15/11/2025,15:00,Port Vale,Wycombe,J Miles,2.57,3.3,2.5,2.8,3.2,2.6,2.75,3.25,2.55,2.7,3.2,2.6,2.75,3.3,2.45,2.8,3.3,2.5,2.75,3.3,2.5,,,,2.8,3.3,2.66,2.71,3.23,2.56,2.84,3.4,2.74,2.15,1.67,,,2.2,1.67,2.14,1.65,2.2,1.73,0.0,1.98,1.88,,,1.98,1.9,1.9,1.84,2.02,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3,15/11/2025,15:00,Accrington,Bristol Rvs,S Stockbridge,2.32,3.3,2.82,2.38,3.3,3.0,2.35,3.3,2.8,2.38,3.4,2.88,2.37,3.4,2.8,2.4,3.4,2.87,2.4,3.4,2.8,,,,2.42,3.5,3.0,2.37,3.36,2.83,2.5,3.45,2.92,1.95,1.9,,,1.95,1.91,1.9,1.83,1.92,1.96,-0.25,2.1,1.78,,,2.1,1.78,2.02,1.72,2.14,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3,15/11/2025,15:00,Bromley,Barrow,S Parkinson,1.66,3.6,4.75,1.73,3.75,4.6,1.68,3.7,4.4,1.73,3.7,4.6,1.71,3.75,4.5,1.73,3.8,4.6,1.73,3.8,4.6,,,,1.77,3.8,4.75,1.72,3.68,4.52,1.78,3.6,5.0,1.93,1.93,,,1.93,1.93,1.88,1.85,1.94,1.89,-0.75,1.98,1.88,,,1.98,1.88,1.89,1.83,2.02,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3,15/11/2025,15:00,Cambridge,Barnet,S Mather,2.57,3.2,2.57,2.63,3.2,2.75,2.55,3.05,2.7,2.63,3.2,2.7,2.6,3.25,2.6,2.62,3.3,2.62,2.62,3.3,2.6,,,,2.66,3.3,2.75,2.61,3.15,2.67,2.76,3.2,2.68,2.1,1.7,,,2.23,1.73,2.12,1.66,1.98,1.73,0.0,1.9,1.95,,,1.9,1.95,1.85,1.88,1.97,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3,15/11/2025,15:00,Fleetwood Town,Swindon,R Eley,2.35,3.4,2.7,2.5,3.4,2.8,2.38,3.4,2.7,2.4,3.5,2.75,2.37,3.4,2.75,2.4,3.5,2.8,2.37,3.5,2.8,,,,2.5,3.5,2.8,2.41,3.4,2.74,2.54,3.5,2.88,1.83,2.03,,,1.83,2.03,1.77,1.97,1.81,2.08,0.0,1.8,2.05,,,1.83,2.05,1.76,1.99,1.84,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3,15/11/2025,15:00,Grimsby,Chesterfield,M Woods,2.05,3.5,3.2,2.1,3.5,3.4,1.95,3.65,3.35,2.1,3.6,3.25,2.05,3.5,3.2,2.1,3.6,3.25,2.1,3.6,3.25,,,,2.14,3.65,3.4,2.07,3.53,3.27,2.16,3.55,3.45,1.75,2.05,,,1.8,2.06,1.74,2.0,1.83,2.14,-0.25,1.83,2.03,,,1.83,2.06,1.75,1.99,1.87,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
